Coefficient of current liquidity;Quick liquidity ratio;Absolute liquidity ratio;Receivables  turnover ratio;Turnover ratio of funds;Ratio of own and borrowed funds;Ratio of own working capital;Coefficient of autonomy;Degree of solvency in current liabilities;Return on net assets by net profit;Profitability;Profitability of sales;Failure
0,991992702;0,497948605;0,261309708;4,873777681;1,304032715;0,241057907;-0,013599935;0,805764175;9,588176436;0,009881534;0,011206546;0,037422321;0
1,065537563;1,052691131;0,096411482;0,331139107;0,322027879;14,99760817;0,061505927;0,062509304;14,68367808;0,381424168;0,482231409;0,007018553;0
1,575593502;1,344119439;0,309344802;4,572150096;3,441731709;1,054550901;0,36531853;0,486724374;1,781486637;0,296065733;0,414354032;0,079463714;0
4,788323304;4,387492633;0,076363972;2,454646344;2,126478109;0,133522033;0,767727324;0,882206054;1,183459643;0,020723558;0,027623871;0,158467472;0
1,255960067;1,150233291;0,873002244;8,490602658;2,321383172;1,552285982;-4,498811565;0,391805623;4,901625731;-0,161040388;-0,192578989;-0,195081525;0
1,077983338;0,58530774;0,101295513;4,624287143;2,121763177;10,71714636;-0,007767897;0,085345012;6,468195004;0,093838741;0,097246395;0,027774942;0
0,652924923;0,517683198;0,01161489;4,454096397;3,422398812;-3,767456597;-0,531809657;-0,361342614;5,498392079;0,422387153;0,353947917;-0,028886822;0
1,2778357;1,042206551;0,377067699;5,21365137;3,199692732;3,573831164;0,217426779;0,218635093;2,544778685;0,021514938;0,045707485;0,013798036;1
1,01678451;0,91362259;0,054903941;1,919554311;1,571625832;47,46404293;0,016509912;0,020633905;7,553612608;0,471198569;0,630411449;0,013432807;0
1,002564108;0,238850728;0,047938578;11,60692253;2,155636817;131,6086359;0,00255755;0,007540987;9,069963372;2,224422442;2,78630363;0,037767111;0
2,713692433;0,112943661;0,03504574;27,49416845;0,902688497;4,016698894;0,16974378;0,199334268;6,239443169;0,002077821;0,0141207;0,117000752;0
3,068950931;2,734362962;0,560109083;2,46951652;1,859001646;0,876594606;0,527413229;0,532880142;2,209568406;0,31485927;0,396457719;0,078249416;0
1,030330833;0,68622093;0,006569485;3,856884597;2,124931563;31,1854311;0,029437955;0,031069958;6,459440942;-0,73956708;0,369906855;0,016831277;0
3,239094769;2,188608686;1,700010796;26,79758217;4,239754532;0,286477646;0,676512532;0,777316266;1,17420204;-0,73956708;0,827143421;0,321339669;0
0,99501658;0,993758093;0,012428233;0,163420911;0,161534365;8,551933422;-1,51426658;0,104690847;83,3382681;0,389828038;0,532217581;0,825285284;0
0,956071787;0,560608731;0,160629475;3,018011556;1,572217655;-26,35108967;-0,045945854;-0,039446064;9,047149768;-0,73956708;1,194605216;-0,040796384;1
1,05777155;0,671837086;0,11604783;5,828062617;3,194812402;10,62552799;0,045795552;0,086017599;5,477976075;-0,703603755;-0,854324506;0,064553409;0
1,45852269;0,893319461;0,029499725;3,119564375;2,229884831;20,06015691;0,047062329;0,047483027;2,764400833;0,669376572;0,665528806;0,008117962;0
0,898828959;0,613247195;0,236176594;5,942729397;2,801154355;2,219305042;-0,112558725;0,310626047;4,548342338;0,011658882;0,035308702;0,011381265;0
1,297076359;0,609616877;0,357355864;5,798600147;0,930892144;3,365186883;0,229035366;0,229085266;10,69393012;0,46539324;0,583084477;-0,014890091;0
1,142806633;0,636804407;0,259312079;11,90449834;2,38394429;3,887066653;0,124961327;0,204621723;3,884582463;-1,632082172;-1,954054658;0,025669334;0
1,050505422;0,890604228;0,738092707;9,624958339;2,411851694;11,94466086;0,048000402;0,077251927;5,442890553;0,81424725;1,019200657;0,04326837;0
1,83150402;1,773394825;0,841498538;1,118276521;0,461161048;232,2325774;0,004277984;0,004287566;16,40330777;-0,73956708;0,157098984;0,100963879;1
2,007992768;0,273381227;0,001157683;37,64653089;6,16369935;37,17016856;-0,116326273;0,02619847;1,021468986;-0,02961054;0,005680175;-0,063084299;0
1,471705083;0,782348996;0,095386636;8,414447775;3,700047344;1,023849263;0,320516038;0,494107945;2,249422782;0,760900541;0,936278805;0,204178682;0
1,339442783;1,111188154;0,024109413;3,063957864;2,304601991;4,494379426;0,176857743;0,182004176;3,63355626;0,001088694;0,032353359;0,076753884;0
1,812781192;1,352512245;0,344536468;1,913850824;1,116968667;10,05656255;-0,067346181;0,090443872;7,320157759;0,049971302;0,062098461;0,014730712;0
0,216293686;0,214187017;0,044897698;5,016292967;3,921605835;-9,943937737;-3,623343456;-0,111807576;6,336093146;1,972220692;2,455470478;-0,04026437;0
1,086165513;1,007084195;0,883248942;9,314363826;2,483963281;11,60557122;0,079330003;0,079330003;5,199128249;0,293899471;0,406154619;0,023431562;1
0,488166232;0,260115009;0,125019239;12,17252747;2,217965899;658,9758316;-1,048482533;0,001515207;7,417549449;0,088119484;0,156551256;0,005196717;0
1,151425488;1,139432052;0,121646825;3,459690655;2,889138667;11,08749435;0,080147549;0,082730132;4,562186358;0,537509519;0,680288387;0,024963853;0
1,0697452;0,391712514;0,124457581;4,349233465;1,305389729;14,07080581;0,065197956;0,066353453;8,988447976;0,50590274;0,545299469;0,052399591;1
0,898193233;0,622824032;0,281628442;2,871378691;1,073942343;-3,52415598;-0,80105662;-0,39617203;15,0038019;0,890558417;1,089290749;-0,509381667;1
1,170983023;1,008234393;0,134701158;1,779897301;1,382458707;5,736502204;0,146015543;0,14844499;6,504969915;0,128890472;0,150678503;0,077059009;0
1,206247653;0,8984484;0,071392823;4,054358844;2,505402321;10,75020311;0,071871477;0,085104912;4,233453956;4,126977384;5,322684622;0,234028909;0
1,080206683;0,086604576;0,000279624;16,94806114;1,49632987;10,39576139;0,074251237;0,087751925;7,767487191;0,698004919;0,720017889;0,019382255;1
